0			5,37047229604015E-12	-7,74545672044269E-9	-4,39405738461573E-8	-1,53528901591926E-7	-4,58643228284927E-7	-1,19881929094845E-6	-1,72625323102693E-6	-3,00577517009515E-6	-6,18328931523138E-6	-7,50513618186233E-6	-1,09084721771069E-5
14,5550003051758	3,11189154444946E-8	1,41896691729926E-7	4,33214182748998E-7	1,15243994969205E-6	2,74833678304276E-6	5,89312230658834E-6	1,12654061013018E-5	1,98006528080441E-5	3,28152673318982E-5	5,08836928929668E-5	7,44723802199587E-5
14,7150001525879	3,13192813905516E-8	1,42410613079846E-7	4,34712802643844E-7	1,15598390948435E-6	2,75759771284356E-6	5,91519483350567E-6	1,13134046841878E-5	1,98941379494499E-5	3,29767644871026E-5	5,1150349463569E-5	7,49060418456793E-5
14,8800001144409	3,15364054870315E-8	1,42940649539014E-7	4,36001528214547E-7	1,15947352696821E-6	2,7669925657392E-6	5,93780168856028E-6	1,13610321932356E-5	1,99870264623314E-5	3,31424998876173E-5	5,14178136654664E-5	7,53372223698534E-5
15,039999961853		3,17427328866415E-8	1,43407888231195E-7	4,37358892213524E-7	1,16318483378564E-6	2,77626122624497E-6	5,95934079683502E-6	1,14077856778749E-5	2,00762169697555E-5	3,33031275658868E-5	5,16789295943454E-5	7,57517118472606E-5
15,1999998092651	3,19622550648546E-8	1,43872057378758E-7	4,38717677297973E-7	1,16659123250429E-6	2,78557604360685E-6	5,9799499467772E-6	1,14531421786523E-5	2,01633229153231E-5	3,34603791998234E-5	5,19381464982871E-5	7,61601986596361E-5
15,3649997711182	3,21709308082063E-8	1,44446630656603E-7	4,40143026025908E-7	1,17000024602021E-6	2,79456980933901E-6	6,00092016611598E-6	1,14993872557534E-5	2,02536029973999E-5	3,36177945428062E-5	5,22025366080925E-5	7,65801160014234E-5
15,5249996185303	3,24029372222867E-8	1,44983005156973E-7	4,41401738271452E-7	1,17317654257931E-6	2,80314725387143E-6	6,02134423388634E-6	1,15431494123186E-5	2,03366580535658E-5	3,37684687110595E-5	5,24539427715354E-5	7,69802354625426E-5
15,6850004196167	3,26346381029907E-8	1,45460433031985E-7	4,42692368096687E-7	1,17640536245744E-6	2,81149141301285E-6	6,04079696131521E-6	1,15854190880782E-5	2,04201078304322E-5	3,3917065593414E-5	5,26999210705981E-5	7,73703868617304E-5
15,8500003814697	3,28474989430561E-8	1,45927458561346E-7	4,43982912656793E-7	1,17970967039582E-6	2,81981806438125E-6	6,06028334004804E-6	1,16273267849465E-5	2,05028554773889E-5	3,40664482791908E-5	5,29456083313562E-5	7,77697496232577E-5
16,0100002288818	3,30452429864181E-8	1,46407899137557E-7	4,45196718601437E-7	1,18281275263143E-6	2,82802147921757E-6	6,07978608968551E-6	1,16684404929401E-5	2,0582891011145E-5	3,42094535881188E-5	5,31813348061405E-5	7,81535636633635E-5
16,1749992370605	3,32510765588268E-8	1,46894151953347E-7	4,46433432443882E-7	1,18590537567798E-6	2,83620306618104E-6	6,09892276770552E-6	1,17111894724076E-5	2,06651457119733E-5	3,4354867239017E-5	5,34273531229701E-5	7,85525480750948E-5
16,3349990844727	3,34499326015703E-8	1,47326105093271E-7	4,47595311925397E-7	1,18900845791359E-6	2,84369912151305E-6	6,11730274613365E-6	1,17506406240864E-5	2,07431912713218E-5	3,44959153153468E-5	5,3661653510062E-5	7,89184050518088E-5
16,4950008392334	3,36614114360145E-8	1,47785129911426E-7	4,48777342398898E-7	1,19188246117119E-6	2,85109535980155E-6	6,13492193224374E-6	1,17889867397025E-5	2,08192814170616E-5	3,46321030519903E-5	5,38856038474478E-5	7,92846840340644E-5
16,6599998474121	3,38732561999677E-8	1,48230967056406E-7	4,5011802285444E-7	1,19481774163432E-6	2,85876740235835E-6	6,15283079241635E-6	1,18277112051146E-5	2,08955225389218E-5	3,47701788996346E-5	5,41167100891471E-5	7,96564345364459E-5
16,8199996948242	3,4085818612084E-8	1,48712416603303E-7	4,51300763870677E-7	1,19765934414318E-6	2,86601380139473E-6	6,16993611401995E-6	1,18665948320995E-5	2,09685440495377E-5	3,49000074493233E-5	5,43392343388405E-5	8,00109846750274E-5
